"TimeCreated","EventId","Device","Message"
"7/9/2026 8:47:25 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:26 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:26 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:27 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:27 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:27 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:27 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:27 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:27 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:37 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:38 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:39 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:39 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:40 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:40 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:40 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:40 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:40 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:40 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:41 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:41 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:41 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:41 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:41 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:41 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:47:42 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:55 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:55 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:57 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:57 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:58 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:58 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:58 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:58 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:59 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:59 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:59 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:58:59 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:00 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:01 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:04 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:04 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:05 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:05 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:05 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
"7/9/2026 8:59:05 PM","7","\Device\Harddisk0\DR0","The device; \Device\Harddisk0\DR0; has a bad block."
